taxonomy	COPD.0001.BAL.L.171	COPD.0001.BAL.R.171	COPD.0002.BAL.L.171	COPD.0002.BAL.R.171	COPD.0003.BAL.R.171	COPD.0007.BAL.L.171	COPD.0007.BAL.R.171	COPD.0021.BAL.L.171	COPD.0021.BAL.R.171	COPD.0026.BAL.L.171	COPD.0026.BAL.R.171	COPD.0030.BAL.L.171	COPD.0030.BAL.R.171	COPD.0035.BAL.L.171	COPD.0035.BAL.R.171	COPD.0036.BAL.L.171	COPD.0036.BAL.R.171	COPD.0041.BAL.L.171	COPD.0041.BAL.R.171	COPD.0049.BAL.L.171	COPD.0049.BAL.R.171	COPD.0050.BAL.L.171	COPD.0050.BAL.R.171	COPD.0051.BAL.L.171	COPD.0051.BAL.R.171	COPD.0056.BAL.L.171	COPD.0056.BAL.R.171	COPD.0066.BAL.L.171	COPD.0066.BAL.R.171	COPD.0068.BAL.L.171	COPD.0068.BAL.R.171	COPD.0073.BAL.L.171	COPD.0073.BAL.R.171	COPD.0076.BAL.L.171	COPD.0076.BAL.R.171	COPD.0079.BAL.L.171	COPD.0079.BAL.R.171	COPD.0101.BAL.L.171	COPD.0101.BAL.R.171	COPD.0102.BAL.L.171	COPD.0102.BAL.R.171	COPD.0111.BAL.L.171	COPD.0111.BAL.R.171	COPD.0115.BAL.L.171	COPD.0115.BAL.R.171	COPD.0116.BAL.L.171	COPD.0116.BAL.R.171	COPD.0117.BAL.L.171	COPD.0117.BAL.R.171	COPD.0121.BAL.L.172	COPD.0121.BAL.R.172	SmNV.0004.BAL.L.171	SmNV.0004.BAL.R.171	SmNV.0005.BAL.L.171	SmNV.0005.BAL.R.171	SmNV.0006.BAL.L.171	SmNV.0006.BAL.R.171	SmNV.0008.BAL.L.171	SmNV.0008.BAL.R.171	SmNV.0009.BAL.L.171	SmNV.0009.BAL.R.171	SmNV.0012.BAL.L.171	SmNV.0012.BAL.R.171	SmNV.0013.BAL.L.171	SmNV.0013.BAL.R.171	SmNV.0014.BAL.L.171	SmNV.0014.BAL.R.171	SmNV.0016.BAL.L.171	SmNV.0016.BAL.R.171	SmNV.0023.BAL.L.171	SmNV.0023.BAL.R.171	SmNV.0027.BAL.L.171	SmNV.0027.BAL.R.171	SmNV.0032.BAL.L.171	SmNV.0032.BAL.R.171	SmNV.0036.BAL.L.171	SmNV.0036.BAL.R.171	SmNV.0038.BAL.L.171	SmNV.0038.BAL.R.171	SmNV.0039.BAL.L.171	SmNV.0039.BAL.R.171	SmNV.0043.BAL.L.171	SmNV.0043.BAL.R.171	SmNV.0044.BAL.L.171	SmNV.0044.BAL.R.171	SmNV.0047.BAL.L.171	SmNV.0047.BALF.R.172	SmNV.0052.BAL.L.171	SmNV.0052.BAL.R.171	SmNV.0055.BAL.L.171	SmNV.0055.BAL.R.171	SmNV.0060.BAL.L.171	SmNV.0060.BAL.R.171	SmNV.0064.BAL.L.171	SmNV.0064.BAL.R.171	SmNV.0067.BAL.L.171	SmNV.0067.BAL.R.171	SmNV.0085.BAL.R.172	SmNV.0091.BAL.L.172	SmNV.0091.BAL.R.172	SmNV.0093.BAL.L.172	SmNV.0093.BAL.R.172	SmNV.0098.BAL.L.172	SmNV.0098.BAL.R.172	SmNV.0099.BAL.L.172	SmNV.0099.BAL.R.172	SmNV.0105.BAL.L.172	SmNV.0105.BAL.R.172	SmNV.0107.BAL.L.172	SmNV.0107.BAL.R.172	SmNV.0122.BAL.L.172	SmNV.0122.BAL.R.172
7d89ef2693eb7e06bdadfaf2ab5578cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196c4e83d9d9ff83538673e815cbda51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e8a0a27331e1dd55ce05a358c0b15ac0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4959fe0b12ab8f9ffb74f51a266d3e4e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1c0f4637adc41331eb5bfbe303418e3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0
3a37b61fe92929aed327712088139339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04c81a0875d5363b9139408f5ff1ec82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
612fb1a6ef8a65e82a2ce663fb04e333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8c33a177920fbc874e4bab338e87d8b5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f5bd32038101a084ee1f45c0f6aa6ff8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
